name,RA,Dec,TOI,vmag,epoch,epoch_uncertainty,period,period_uncertainty,duration,comments,depth,disposition,priority
"TIC 53427308.01",07:55:31.62,54:35:47.76,1733.01,10.4,2458844.7654,,5.80322,0.00192,1.569,"Small depth-aperture correlation; odd/even not reliable because fit fails; short transit duration for a big star; steep ingress and shallow egress could be due to disintegrating planet (updated 2022-12-14)",1.71,FP,5
"TIC 224596152.01",16:58:00.79,57:18:18.95,1734.01,10.3,2458688.866362,,28.8745077780318,0.00011769409,4.48497652469351," (updated 2023-06-16)",0.58,PC,2
"TIC 365673804.01",20:53:21.4,64:13:45,1735.01,8.3,2459897.427225,,10.3857972,0.0000378,3.142,"crowded field (updated 2023-02-09)",0.31,PC,1
"TIC 408618999.01",02:53:44.27,69:06:04.84,1736.01,8.3,2459924.49044,,7.0731059,0.0000271,3.851," (updated 2023-02-09)",0.43,PC,1
"TIC 233009109.01",16:33:00.78,72:55:31.92,1737.01,8.6,2459930.641921,,14.4479443,0.0000769,6.16,"L1 candidate; variable host (updated 2023-02-09)",0.20,PC,2
"TIC 104208182.01",03:38:00.52,50:57:18.41,1738.01,12.5,2458792.656633,,3.69858165052609,0.000013993961,1.54742050728208," (updated 2023-06-16)",3.06,PC,2
"TIC 159418353.01",16:00:41.4,83:15:31.17,1739.01,9.8,2459631.820523,,8.30329783725283,0.000017560737,1.89117270427455,"L1 candidate (updated 2023-06-16)",0.56,PC,2
"TIC 174041208.01",23:24:04.32,43:22:36.01,1740.01,10.4,2458741.058614,,19.4284190322106,0.0037161424,3.57271543464574,"period could be 2x (updated 2022-12-14)",0.85,PC,2
"TIC 198206613.01",16:28:10.43,63:29:56.75,1741.01,10.6,2459852.091929,,10.9406641,0.0000532,2.175," (updated 2023-02-09)",0.44,PC,2
"TIC 219857012.01",17:09:18.93,71:52:36.02,1742.01,8.3,2459937.685627,,21.2691725,0.0001254,5.78,"L1 planet (updated 2023-03-21)",0.33,PC,1
"TIC 219860288.01",17:10:59.36,71:52:19.93,1743.01,12.4,2459660.494212,,4.2660553,0.000014,0.69,"slightly v-shaped; potential L1 candidate (updated 2023-08-23)",1.70,PC,1
"TIC 229455001.01",19:37:09.86,60:52:52.69,1744.01,9.0,2459908.384661,,22.341674,0.0000921,2.677,"inconsistent centroid offset; two stars in pixel; possible unrelated dip at ~1848 TBJD (updated 2023-03-03)",0.46,PC,3
"TIC 232635922.01",18:44:32.71,54:56:59.64,1745.01,12.8,2459653.478364,,5.9848710165382,0.000016876244,2.2695614064723,"slightly v-shaped; very close neighboring TIC 1717744910; possible depth aperture correlation; ~500 ppm secondary (updated 2023-06-16)",2.58,PC,2
"TIC 232650365.01",18:47:04.25,54:54:38.45,1746.01,12.0,2458684.784378,,2.52533226920333,0.000011101902,0.989828985433435,"V-shaped (updated 2023-02-09)",1.26,PC,1
"TIC 232650365.02",18:47:04.25,54:54:38.45,1746.02,12.0,2459660.640991,,3.87768154096526,0.000010184988,1.02975423446246,"potential multi; near 3:2 resonance (updated 2023-06-16)",1.08,PC,1
